 ID X Y Z
0 A0 -4330.00 -8500.00 1120.44
1 A1 -2598.00 -8500.00 1110.41
2 A2 -866.00 -8500.00 1072.34
3 A3 866.00 -8500.00 1028.38
4 A4 2598.00 -8500.00 1041.50
5 A5 4330.00 -8500.00 1011.59
6 A6 -5196.00 -8000.00 1123.43
7 A7 -3464.00 -8000.00 1110.48
8 A8 -1732.00 -8000.00 1063.50
9 A9 0.00 -8000.00 1042.84
10 A10 1732.00 -8000.00 1025.72
11 A11 3464.00 -8000.00 1017.80
12 A12 5196.00 -8000.00 963.73
13 A13 -5196.00 -7000.00 1101.92
14 A14 -3464.00 -7000.00 1084.00
15 A15 -1732.00 -7000.00 1059.26
16 A16 0.00 -7000.00 1052.20
17 A17 1732.00 -7000.00 1029.76
18 A18 3464.00 -7000.00 1016.38
19 A19 5196.00 -7000.00 1007.00
20 A20 -6062.00 -6500.00 1102.00
21 A21 -4330.00 -6500.00 1091.54
22 A22 -2598.00 -6500.00 1073.08
23 A23 -866.00 -6500.00 1056.16
24 A24 866.00 -6500.00 1042.01
25 A25 2598.00 -6500.00 1028.13
26 A26 4330.00 -6500.00 1010.49
27 A27 6062.00 -6500.00 993.22
28 A28 -6062.00 -5500.00 1098.29
29 A29 -4330.00 -5500.00 1084.43
30 A30 -2598.00 -5500.00 1074.25
31 A31 -866.00 -5500.00 1049.66
32 A32 866.00 -5500.00 1043.86
33 A33 2598.00 -5500.00 1032.83
34 A34 4330.00 -5500.00 1020.00
35 A35 6062.00 -5500.00 1002.57
36 A36 -6928.00 -5000.00 1103.80
37 A37 -5196.00 -5000.00 1076.39
38 A38 -3464.00 -5000.00 1071.12
39 A39 -1732.00 -5000.00 1069.29
40 A40 0.00 -5000.00 1051.16
41 A41 1732.00 -5000.00 1042.63
42 A42 3464.00 -5000.00 1044.82
43 A43 5196.00 -5000.00 1016.92
44 A44 6928.00 -5000.00 1003.29
45 A45 -6928.00 -4000.00 1114.62
46 A46 -5196.00 -4000.00 1099.23
47 A47 -3464.00 -4000.00 1084.01
48 A48 -1732.00 -4000.00 1080.36
49 A49 0.00 -4000.00 1063.64
50 A50 1732.00 -4000.00 1053.75
51 A51 3464.00 -4000.00 1035.57
52 A52 5196.00 -4000.00 1021.13
53 A53 6928.00 -4000.00 1007.15
54 A54 -7794.00 -3500.00 1133.12
55 A55 -6062.00 -3500.00 1124.07
56 A56 -4330.00 -3500.00 1106.56
57 A57 -2598.00 -3500.00 1115.37
58 A58 -866.00 -3500.00 1075.05
59 A59 866.00 -3500.00 1061.66
60 A60 2598.00 -3500.00 1047.49
61 A61 4330.00 -3500.00 1035.34
62 A62 6062.00 -3500.00 1018.70
63 A63 7794.00 -3500.00 993.08
64 A64 -7794.00 -2500.00 1149.51
65 A65 -6062.00 -2500.00 1136.57
66 A66 -4330.00 -2500.00 1118.51
67 A67 -2598.00 -2500.00 1103.81
68 A68 -866.00 -2500.00 1093.78
69 A69 866.00 -2500.00 1073.46
70 A70 2598.00 -2500.00 1052.79
71 A71 4330.00 -2500.00 1043.11
72 A72 6062.00 -2500.00 992.96
73 A73 7794.00 -2500.00 994.69
74 A74 -8660.00 -2000.00 1168.86
75 A75 -6928.00 -2000.00 1152.58
76 A76 -5196.00 -2000.00 1149.93
77 A77 -3464.00 -2000.00 1115.40
78 A78 -1732.00 -2000.00 1106.59
79 A79 0.00 -2000.00 1088.71
80 A80 1732.00 -2000.00 1073.59
81 A81 3464.00 -2000.00 1043.28
82 A82 5196.00 -2000.00 966.01
83 A83 6928.00 -2000.00 996.78
84 A84 8660.00 -2000.00 981.17
85 A85 -8660.00 -1000.00 1179.03
86 A86 -6928.00 -1000.00 1171.52
87 A87 -5196.00 -1000.00 1146.82
88 A88 -3464.00 -1000.00 1131.96
89 A89 -1732.00 -1000.00 1117.87
90 A90 0.00 -1000.00 1086.15
91 A91 1732.00 -1000.00 1064.02
92 A92 3464.00 -1000.00 1039.76
93 A93 5196.00 -1000.00 1009.91
94 A94 6928.00 -1000.00 991.28
95 A95 8660.00 -1000.00 961.10
96 A96 -9526.00 -500.00 1214.25
97 A97 -7794.00 -500.00 1178.67
98 A98 -6062.00 -500.00 1162.94
99 A99 -4330.00 -500.00 1146.96
100 A100 -2598.00 -500.00 1123.34
101 A101 -866.00 -500.00 1100.14
102 A102 866.00 -500.00 1071.85
103 A103 2598.00 -500.00 1046.57
104 A104 4330.00 -500.00 1030.06
105 A105 6062.00 -500.00 999.93
106 A106 7794.00 -500.00 975.91
107 A107 9526.00 -500.00 963.39
108 A108 -9526.00 500.00 1223.81
109 A109 -7794.00 500.00 1196.73
110 A110 -6062.00 500.00 1168.02
111 A111 -4330.00 500.00 1145.09
112 A112 -2598.00 500.00 1118.00
113 A113 -866.00 500.00 1100.21
114 A114 866.00 500.00 1070.07
115 A115 2598.00 500.00 1051.70
116 A116 4330.00 500.00 1027.00
117 A117 6062.00 500.00 990.42
118 A118 7794.00 500.00 988.54
119 A119 9526.00 500.00 973.20
120 A120 -8660.00 1000.00 1210.93
121 A121 -6928.00 1000.00 1184.59
122 A122 -5196.00 1000.00 1157.12
123 A123 -3464.00 1000.00 1134.04
124 A124 -1732.00 1000.00 1113.14
125 A125 0.00 1000.00 1079.86
126 A126 1732.00 1000.00 1049.86
127 A127 3464.00 1000.00 1033.00
128 A128 5196.00 1000.00 1010.20
129 A129 6928.00 1000.00 982.96
130 A130 8660.00 1000.00 986.34
131 A131 -8660.00 2000.00 1202.27
132 A132 -6928.00 2000.00 1176.40
