#longi[deg] lati[deg] z[m]
92.35731 38.86473 2784.287
92.35731 38.88033 2809.765
92.35731 38.89592 2832.722
92.35731 38.91152 2857.219
92.35155 38.85693 2771.431
92.35155 38.87253 2790.617
92.35155 38.88812 2814.143
92.35155 38.90372 2829.333
92.35154 38.91931 2853.98
92.34003 38.85693 2765.295
92.34003 38.87253 2784.912
92.34003 38.88812 2804.344
92.34002 38.90372 2819.175
92.34002 38.91931 2832.371
92.33428 38.84913 2754.255
92.33427 38.86473 2772.465
92.33427 38.88032 2792.23
92.33426 38.89592 2809.057
92.33426 38.91151 2825.099
92.33425 38.92711 2824.035
92.32276 38.84913 2751.006
92.32276 38.86473 2766.693
92.32275 38.88032 2784.939
92.32274 38.89592 2805.188
92.32273 38.91151 2827.564
92.32273 38.92711 2831.969
92.317 38.85693 2760.607
92.31699 38.87252 2773.416
92.31698 38.88812 2793.056
92.31698 38.90371 2816.658
92.31697 38.91931 2829.481
92.30549 38.85692 2761.233
92.30548 38.87252 2772.533
92.30546 38.88811 2786.937
92.30545 38.90371 2807.059
92.30544 38.9193 2830.047
92.29973 38.84912 2751.48
92.29972 38.86472 2770.468
92.29971 38.88031 2776.829
92.2997 38.89591 2792.952
92.29969 38.9115 2815.893
92.29967 38.9271 2828.999
92.28822 38.84911 2757.77
92.28821 38.86471 2766.629
92.28819 38.88031 2777.987
92.28818 38.8959 2791.418
92.28816 38.9115 2805.62
92.28815 38.92709 2809.667
92.28246 38.85691 2768.331
92.28244 38.8725 2774.898
92.28242 38.8881 2779.956
92.28241 38.90369 2794.828
92.28239 38.91929 2814.784
92.27094 38.8569 2778.72
92.27092 38.8725 2785.844
92.2709 38.88809 2789.929
92.27088 38.90369 2800.518
92.27086 38.91928 2829.599
92.26519 38.8491 2781.534
92.26517 38.86469 2790.611
92.26515 38.88029 2793.368
92.26513 38.89588 2797.707
92.26511 38.91148 2821.023
92.26509 38.92707 2857.177
92.25368 38.84909 2795.397
92.25366 38.86468 2806.203
92.25363 38.88028 2807.461
92.25361 38.89587 2806.402
92.25359 38.91147 2832.817
92.25357 38.92706 2876.578
92.24791 38.85688 2808.647
92.24789 38.87248 2815.134
92.24786 38.88807 2809.974
92.24784 38.90367 2822.987
92.24781 38.91926 2861.969
92.23639 38.85687 2825.367
92.23637 38.87247 2832.559
92.23634 38.88806 2826.777
92.23631 38.90366 2839.401
92.23629 38.91925 2882.666
92.23062 38.86466 2841.471
92.23059 38.88026 2838.387
92.23057 38.89585 2838.448
92.22488 38.85686 2844.705
92.22485 38.87245 2850.897
92.22482 38.88805 2849.065
92.22479 38.90364 2860.45
92.22476 38.91924 2875.039
#----second phase---------
92.21336 38.85684 2866.439
92.21333 38.87244 2868.126
92.2133 38.88803 2875.218
92.21327 38.90363 2894.06
92.21324 38.91922 2901.867
92.20762 38.84904 2872.159
92.20759 38.86463 2880.509
92.20756 38.88023 2879.741
92.20752 38.89582 2896.483
92.20749 38.91142 2923.997
92.19611 38.84902 2892.513
92.19607 38.86462 2902.078
92.19604 38.88021 2900.481
92.196 38.89581 2926.811
92.19597 38.9114 2961.364
92.19037 38.84122 2892.71
92.19033 38.85681 2904.788
92.1903 38.87241 2911.938
92.19026 38.888 2925.919
92.19023 38.9036 2954.844
92.19019 38.91919 3064.888
92.17886 38.8412 2917.035
92.17882 38.8568 2931.426
92.17878 38.87239 2935.611
92.17874 38.88799 2947.242
92.1787 38.90358 2981.897
92.17867 38.91917 3035.334
92.17312 38.83339 2939.004
92.17308 38.84899 2932.763
92.17304 38.86458 2944.714
92.173 38.88018 2949.646
92.17296 38.89577 2976.987
92.17292 38.91137 3009.256
92.16161 38.83338 2976.217
92.16157 38.84897 2956.842
92.16153 38.86457 2968.826
92.16148 38.88016 2977.875
92.16144 38.89576 3007.023
92.1614 38.91135 3044.48
92.15583 38.84116 2972.687
92.15579 38.85676 2977.486
92.15575 38.87235 2981.971
92.1557 38.88795 3003.168
92.15566 38.90354 3042.597
92.15562 38.91914 3083.931
92.14432 38.84114 3012.522
92.14428 38.85674 3002.733
92.14423 38.87233 3008.87
92.14418 38.88793 3030.769
92.14414 38.90352 3076.172
92.14409 38.91912 3144.275
92.13854 38.84893 3020.856
92.1385 38.86452 3020.049
92.13845 38.88012 3028.439
92.1384 38.89571 3059.472
92.13836 38.91131 3118.816
92.12703 38.84891 3066.009
92.12698 38.8645 3044.385
92.12693 38.8801 3053.206
92.12688 38.89569 3081.293
92.12683 38.91129 3135.332
92.12125 38.85669 3070.214
92.1212 38.87229 3061.166
92.12115 38.88788 3078.491
92.1211 38.90348 3115.77
92.12105 38.91907 3168.916
92.10973 38.85667 3110.757
92.10968 38.87226 3086.374
92.10963 38.88786 3106.354
92.10957 38.90345 3141.873
92.10952 38.91905 3188.551
92.10395 38.86445 3106.13
92.10389 38.88005 3108.292
92.10384 38.89564 3137.529
92.10379 38.91124 3180.373
#
92.46673 38.87248 2997.606
92.46675 38.88807 3084.041
92.46677 38.90366 3159.243
92.46679 38.91926 3138.771
92.46096 38.86468 2946.495
92.46098 38.88028 3015.109
92.461 38.89587 3091.446
92.46102 38.91147 3116.431
92.46104 38.92706 3151.52
92.44944 38.86469 2933.934
92.44946 38.88029 2984.424
92.44948 38.89588 3050.711
92.4495 38.91148 3099.535
92.44952 38.92707 3131.807
92.44367 38.8569 2888.455
92.44369 38.8725 2958.295
92.44371 38.88809 3031.136
92.44373 38.90368 3092.151
92.44375 38.91928 3119.061
92.44376 38.93487 3139.575
92.43217 38.8725 2971.425
92.43219 38.8881 3024.198
92.4322 38.90369 3057.531
92.43222 38.91929 3090.895
92.43224 38.93488 3111.724
92.42641 38.86471 2929.447
92.42642 38.8803 2988.718
92.42644 38.8959 3023.865
92.42645 38.91149 3062.981
92.42647 38.92709 3086.387
92.42648 38.94268 3105.979
92.41489 38.86472 2903.204
92.4149 38.88031 2951.351
92.41491 38.89591 2989.091
92.41493 38.9115 3027.574
92.41494 38.92709 3055.077
92.41495 38.94269 3077.709
92.40913 38.85692 2860.621
92.40914 38.87252 2918.37
92.40915 38.88811 2954.656
92.40916 38.90371 2990.398
92.40917 38.9193 3025.727
92.40918 38.93489 3045.598
92.39762 38.87252 2890.083
92.39763 38.88812 2920.048
92.39764 38.90371 2951.585
92.39765 38.9193 2992.387
92.39765 38.9349 3013.412
92.39186 38.86473 2856.559
92.39186 38.88032 2892.73
92.39187 38.89592 2911.78
92.39188 38.91151 2957.47
92.39189 38.9271 2988.543
92.38034 38.86473 2829.191
92.38035 38.88032 2859.542
92.38035 38.89592 2885.547
92.38036 38.91151 2923.278
92.38036 38.92711 2951.77
92.37458 38.85693 2805.222
92.37458 38.87253 2831.246
92.37459 38.88812 2857.822
92.37459 38.90372 2885.854
92.3746 38.91931 2918.761
92.36307 38.87253 2804.923
92.36307 38.88812 2832.129
92.36307 38.90372 2859.159
92.36307 38.91931 2883.479
92.35731 38.86473 2784.287
92.35731 38.88033 2809.765
92.35731 38.89592 2832.722
92.35731 38.91152 2857.219
